Np,próbka,vpp,dt,f,jakość,Uwagi
1,Acs,22,14.4,113.6,3,
3,Acfm,15.8,19.6,50,5,
5,Acc,15.8,23.6,50,5,
6,Dcfm,15.8,22.4,250,4,
7,Fcs,15,24,100,4,
8,Acf,14.9,360,45.45,3,
9,Dcs,14.4,25.6,250,2,
10,Dcf,14,85,40,3,
11,Fcfm,13.9,46,100,4,
12,Fcc,13.6,41,100,4,
13,Dcc,13.1,18.4,76.9,3,Znacząca zawartość 2. harmonicznej.
14,Bcs,12.3,14.4,200,4,
15,Bcfm,11,6.4,156.2,5,Jeden okres sygnału trójkątnego
16,Ecfm,10.9,22,100,3,Znacząca zawartość wyższych harmonicznych.
17,Ecs,10.9,32.4,100,3,Znacząca zawartość wyższych harmonicznych.
18,S,8.88,5.8,200,5,Jeden okres sygnału trójkątnego
19,rBcfm,6.68,5,200,5,Jeden okres sygnału trójkątnego
20,Ecc,6.64,52,100,5,
21,SA,3.36,11.6,250,2,Znacząca zawartość wyższych harmonicznych. Długotrwały stan nieustalony.
22,rBcs,2.96,33,100,3,
23,Bcc,2.76,2.2,454,5,Duży współczynnik wypełnienia sygnału. Brak okresowości.
24,rBcc,2.62,5.8,500,4,
